Trabajador,Sexo,Delegacion / Municipio
    BT0002,H,NAULCALPAN DE JUAREZ 
    BT0009,H,MAGDALENA CONTRERAS
    BT0014,H,CUAUHTEMOC
    BT0016,H,GUSTAVO A. MADERO
    BT0019,M,ALVARO OBREGON
    BT0020,H,CORREGIDORA
    BT0022,H,ATIZAPAN DE ZARAGOZA
    BT0027,M,NAUCALPAN
    BT0041,H,EDO. DE MEXICO
    BT0043,H,MEXICO
    BT0051,H,VENUSTIANO CARRANZA
    BT0055,H,ATIZAPAN DE ZARAGOZA
    BT0059,M,AZCAPOTZALCO
    BT0060,H,XOCHIMILCO
    BT0070,H,NULL
    BT0089,H,TLALNEPANTLA
    BT0093,M,TLALNEPANTLA
    BT0099,H,CHALCO
    BT0101,H,IZTACALCO
    BT0105,H,CUAUHTEMOC
    BT0106,H,NEZAHUALCOYOTL
    BT0119,H,TULTITLAN
    BT0136,H,PACHUCA
    BT0139,H,PACHUCA
    BT0140,H,VILLAS DEL ALAMO
    BT0141,H,NAUCALPAN
    BT0144,H,ECATEPEC
    BT0152,M,PACHUCA
    BT0173,M,"ACAYUCA, ZAPOTLAN DE JUAREZ"
    BT0182,M,"PACHUCA, HGO."
    BT0184,H,"PACHUCA, HGO."
    BT0194,H,PACHUCA
    BT0197,H,AZCAPOTZALCO
    BT0200,H,TLAHUAC
    BT0201,M,MIGUEL HIDALGO
    BT0203,H,NAUCALPAN
    BT0216,H,ATOTONILCO EL GRANDE
    BT0217,H,MIXQUIAHUALA DE JUAREZ
    BT0222,H,MINERAL DE LA REFORMA
    BT0231,H,BENITO JUAREZ
    BT0237,H,PACHUCA
    BT0247,M,PACHUCA DE SOTO
    BT0249,M,MINERAL DE LA REFORMA
    BT0250,H,SAN AGUSTIN
    BT0261,M,ACTOPAN
    BT0266,M,PACHUCA DE SOTO
    BT0279,H,IXMIQUILPAN
    BT0283,H,PACHUCA
    BT0285,M,MINERAL DE LA REFORMA
    BT0301,H,PACHUCA
    BT0310,M,GUSTAVO A MADERO
    BT0314,H,ALVARO OBREGON
    BT0320,M,PACHUCA
    BT0321,M,IXMIQUILPAN
    BT0322,M,CHILCUAUTLA
    BT0323,M,PACHUCA
    BT0324,H,PACHUCA
    BT0325,H,PACHUCA
    BT0327,H,PACHUCA
    BT0329,M,GUSTAVO A MEDERO
    BT0333,H,PACHUCA
    BT0338,H,ALVARO OBREGON
    BT0339,M,ATIZAPAN DE ZARAGOZA
    BT0340,H,IZTAPALAPA
    BT0342,H,AZCAPOTZALCO
    BT0343,H,ALVARO OBREGON
    BT0344,M,NEZAHUALCOYOTL
    BT0345,H,MIGUEL HIDALGO
    BT0353,M,SAN AGUSTIN
    BT0356,H,FRACC. LA CRUZ PACHUCA
    BT0358,H,PACHUCA
    BT0359,M,GUSTAVO A MADERO
    BT0366,H,IZTAPALAPA
    BT0367,M,PACHUCA
    BT0368,H,TLANEPANTLA
    BT0371,H,CUAJIMALPA
    BT0373,M,PACHUCA
    BT0377,H,ALVARO OBREGON
    BT0380,H,PACHUCA
    BT0382,H,IXTAPALUCA
    BT0384,H,BENITO JUAREZ
    BT0385,H,GUSTAVO A MADERO
    BT0388,H,ALVARO OBREGON
    BT0392,H,GUSTAVO A MADERO
    BT0394,H,NULL
    BT0396,M,ECATEPEC DE MORELOS
    BT0400,H,NEZAHUALCOYOTL
    BT0402,H,SAN MATEO ATENCO
    BT0404,M,GUSTAVO A MADERO
    BT0411,H,TLALNEPANTLA
    BT0415,H,IZTAPALAPA
    BT0416,H,IZTACALCO
    BT0420,H,NICOLAS ROMERO
    BT0421,M,PACHUCA
    BT0422,H,ZEMPOALA
    BT0424,H,ALVARO OBREGON
    BT0425,M,CUAUTITLAN IZCALLI
    BT0429,H,IZTAPALAPA
    BT0430,H,TLALPAN
    BT0432,H,CUAUHTEMOC
    BT0433,H,CUAUHTEMOC
    BT0436,H,NAUCALPAN
    BT0437,H,CUAUHTEMOC
    BT0438,M,PACHUCA
    BT0440,H,GUSTAVO A MADERO
    BT0441,M,ACTOPAN
    BT0442,M,CUAUHTEMOC
    BT0443,M,CD NEZAHUALCOYOTL
    BT0444,H,CUAUHTEMOC
    BT0446,M,NAUCALPAN DE JUAREZ
    BT0448,H,NAUCALPAN
    BT0449,H,TLALPAN
    BT0451,H,ATIZAPAN ZARAGOZA
    BT0453,M,MIXQUIAHUALA
    BT0455,M,GUSTAVO A MADERO
    BT0458,H,GUSTAVO A MADERO
    BT0459,H,TECAMAC
    BT0462,H,ECATEPEC DE MORELOS
    BT0463,H,NEZAHUALCOYOTL
    BT0464,H,CUAHUTEMOC
    BT0466,M,MINERAL DE LA REFORMA
    BT0468,M,IZTAPALAPA
    BT0478,H,AZCAPOTZALCO
    BT0482,H,COYOACAN
    BT0483,M,CUAUHTEMOC
    BT0487,H,GUSTAVO A MADERO
    BT0488,H,TLALNEPANTLA
    BT0490,H,ECATEPEC
    BT0491,H,BENITO JUAREZ
    BT0492,H,NAUCALPAN
    BT0493,H,AZCAPOTZALCO
    BT0496,M,IZTACALCO
    BT0498,H,TLAHUAC
    BT0501,H,COYOACAN
    BT0502,M,SAN MATEO CHIPILTEPEC
    BT0504,H,IZTAPALAPA
    BT0505,M,PACHUCA
    BT0507,H,ECATEPEC DE MORELOS
    BT0512,H,ECATEPEC
    BT0513,H,IZTAPALAPA
    BT0514,H,TULTITLAN
    BT0516,H,IZTAPALAPA
    BT0518,H,VENUSTIANO CARRANZA
    BT0519,H,ALVARO OBREGON
    BT0521,H,ALVARO OBREGON
    BT0522,H,PACHUCA DE SOTO
    BT0523,M,SAN AGUSTIN TLAXIACA
    BT0524,H,PACHUCA
    BT0525,H,MINERAL DE LA REFORMA
    BT0527,M,NEZAHUALCOYOTL
    BT0528,H,NEZAHUALCOYOTL
    BT0529,M,PACHUCA
    BT0530,M,MIGUEL HIDALGO
    BT0532,H,ECATEPEC DE MORELOS
    BT0535,M,BENITO JUAREZ
    BT0536,M,PACHUCA
    BT0537,M,IXMIQUILPAN
    BT0538,M,TEPEAPULCO
    BT0539,H,COYOACAN
    BT0540,H,CUAJIMALPA
    BT0541,H,ALVARO OBREGON
    BT0542,H,CUAUTLA
    BT0543,H,BENITO JUAREZ
    BT0544,H,CUAUTITLAN IZCALLI
    BT0546,H,TLALNEPANTLA
    BT0547,H,GUSTAVO A. MADERO
    BT0550,M,PACHUCA
    BT0552,H,ECATEPEC
    BT0553,H,MIGUEL HIDALGO
    BT0554,M,IZTAPALAPA
    BT0556,H,MAGDALENA CONTRERAS
    BT0557,H,MIGUEL HIDALGO
    BT0558,M,ECATEPEC
    BT0559,H,IXTAPALUCA
    BT0560,H,COYOACAN
    BT0561,H,CUAUHTEMOC
    BT0562,H,MAGDALENA CONTRERAS
    BT0563,H,GUSTAVO A. MADERO
    BT0564,H,MIGUEL HIDALGO
    BT0566,M,CUAUHTEMOC
    BT0567,H,D.F.
    BT0568,H,ATZCAPOZALCO
    BT0569,H,GUSTAVO A. MADERO
    BT0570,H,LOS REYES LA PAZ
    BT0571,M,NEZAHUALCOYOTL
    BT0572,M,CUAUTITLAN IZCALLI
    BT0573,H,GUSTAVO A MADERO
    BT0574,M,ECATEPEC
    BT0575,H,GUSTAVO A MADERO
    BT0576,M,GUSTAVO A MADERO
    BT0577,H,GUSTAVO A MADERO
    BT0578,H,CUAUTITLAN IZCALLI
    BT0579,H,ECATEPEC
    BT0580,H,ECATEPEC
    BT0582,H,COYOACAN
    BT0584,H,CUAJIMALPA
    BT0585,H,IZTAPALAPA
    BT0586,H,MAGDALENA CONTRERAS
    BT0587,M,CUAUTITLAN
    BT0588,H,COYOACAN
    BT0590,H,TIZAYUCA
    BT0591,H,BENITO JUAREZ
    BT0592,H,AZCAPOTZALCO
    BT0593,M,NEZAHUALCOYOTL
    CM0002,H,TLALPAN
    CM0005,M,IZTACALCO
